comp_bytes	uncomp_bytes	num_apps	path	apps
2158	9416	1	res/vp.xml	alchemist
2141	7608	1	res/G5.xml	alchemist
2136	8036	1	res/qD.xml	alchemist
2136	4924	1	res/Ak.xml	weather
2135	5956	1	res/Fo.xml	alchemist
2130	7396	1	res/5T.xml	alchemist
2130	7212	1	res/KL.xml	alchemist
2127	6704	1	res/Y9.xml	alchemist
2126	5709	1	com/google/auto/value/processor/autooneof.vm	camera
2110	5828	1	res/ov.xml	alchemist
2100	8588	1	res/S2.xml	alchemist
2099	5852	1	res/lg.xml	alchemist
2097	19184	1	assets/holidays/Ukraine.json	calendar
2094	6576	1	res/E91.xml	alchemist
2085	8064	1	res/lG.xml	alchemist
2084	5876	1	res/Rj1.xml	alchemist
2082	6120	1	res/u41.xml	alchemist
2065	6836	1	res/Gz.xml	alchemist
2058	4892	4	google/protobuf/duration.proto	camera,messages,photos,youpipe
2056	16129	1	assets/holidays/Spain.json	calendar
2053	7120	1	res/pK.xml	alchemist
2052	7880	1	res/Rm.xml	alchemist
2052	8836	1	res/Uo.xml	alchemist
2044	4300	1	res/To.xml	alchemist
2041	4836	1	res/FO.xml	alchemist
2036	6768	1	res/o1.xml	alchemist
2035	7256	1	res/BX.xml	alchemist
2032	18410	1	assets/holidays/Malaysia.json	calendar
2032	7380	1	res/i_.xml	alchemist
2029	6380	1	res/gD.xml	alchemist
2029	6380	1	res/kh1.xml	alchemist
2027	6592	1	res/Wt.xml	alchemist
2024	5616	1	res/kd.xml	alchemist
2023	6596	1	res/wk.xml	alchemist
2020	6312	1	res/6v.xml	alchemist
2020	7284	1	AndroidManifest.xml	notes
2017	6436	1	res/9L.xml	alchemist
2012	4772	1	res/Bb.xml	alchemist
2005	4220	1	res/mR.xml	alchemist
2004	4620	1	res/7B.xml	alchemist
2002	6956	1	res/qI.xml	alchemist
1994	6612	1	res/YL.xml	alchemist
1992	6976	1	res/8t.xml	alchemist
1986	4754	1	com/google/auto/value/processor/autovalue.vm	camera
1986	6612	1	res/sw.xml	alchemist
1981	5392	1	res/K7.xml	alchemist
1979	6016	1	res/gq.xml	alchemist
1971	4332	1	res/HW.xml	alchemist
1970	5304	1	res/FN.xml	alchemist
1963	7456	1	res/d5.xml	alchemist
1961	5488	1	res/Mq1.xml	alchemist
1961	6392	1	res/zm.xml	alchemist
1953	4317	2	google/protobuf/struct.proto	messages,youpipe
1952	8752	1	res/j-.xml	alchemist
1944	5228	1	res/I7.xml	alchemist
1943	7036	1	res/Ql.xml	alchemist
1935	6900	1	res/O9.xml	alchemist
1929	1929	4	res/Pk.png	findfamily,maps,photos,weather
1923	6580	1	res/M4.xml	alchemist
1918	7284	1	res/gu.xml	alchemist
1917	6228	1	res/5S.xml	alchemist
1912	5644	1	res/Ip.xml	alchemist
1906	5968	1	res/1h.xml	alchemist
1903	4856	1	res/Mw.xml	alchemist
1902	5828	1	res/ju.xml	alchemist
1899	7564	1	res/wL.xml	alchemist
1898	6056	1	res/vY1.xml	alchemist
1897	5944	1	res/BK.xml	alchemist
1892	5088	1	res/OV.xml	alchemist
1890	8625	24	kotlin/collections/collections.kotlin_builtins	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
1879	4180	1	assets/wordgen/bad-words.txt	wordmaker
1872	6572	1	res/a0.xml	alchemist
1865	6188	1	res/vd.xml	alchemist
1864	6688	1	res/GF.xml	alchemist
1862	5592	1	res/CP.xml	alchemist
1860	6124	1	res/eL.xml	alchemist
1852	5736	1	res/k7.xml	alchemist
1852	4152	1	res/pA.xml	alchemist
1851	7300	1	res/Hl.xml	alchemist
1850	5724	1	res/86.xml	alchemist
1839	5000	1	res/-k.xml	alchemist
1838	5676	1	res/ok1.xml	alchemist
1832	5884	1	res/aV.xml	alchemist
1831	17283	1	assets/holidays/China.json	calendar
1827	6508	1	res/KM1.xml	alchemist
1827	6512	1	res/Lw.xml	alchemist
1824	8544	2	com/google/i18n/phonenumbers/data/PhoneNumberMetadataProto_IN	contacts,messages
1823	13352	2	com/google/i18n/phonenumbers/data/PhoneNumberMetadataProto_CN	contacts,messages
1823	7284	1	res/WV.xml	alchemist
1819	51867	1	assets/packs/8x8.json	pipes
1812	1812	4	res/L6.png	findfamily,maps,photos,weather
1808	5136	1	res/Jc.xml	alchemist
1807	4656	1	res/f_1.xml	alchemist
1806	7644	1	res/KX.xml	alchemist
1806	6308	1	res/bc.xml	alchemist
1805	6188	1	AndroidManifest.xml	unblockjam
1804	6500	1	res/xf.xml	alchemist
1802	5156	1	res/mH.xml	alchemist
1802	6176	1	AndroidManifest.xml	solitaire
1801	5368	1	res/h2.xml	alchemist
1800	6176	1	AndroidManifest.xml	alchemist
1800	6176	1	AndroidManifest.xml	wordmaker
1799	6540	1	res/D1.xml	alchemist
1797	5680	1	res/o01.xml	alchemist
