comp_bytes	num_apps	waste_bytes	path	apps
563	24	12949	res/RV.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
557	2	557	com/google/i18n/phonenumbers/data/PhoneNumberMetadataProto_BR	contacts,messages
557	2	557	com/google/i18n/phonenumbers/data/PhoneNumberMetadataProto_NL	contacts,messages
555	2	555	res/cA1.xml	pipes,unblockjam
554	24	12742	res/GD1.xml	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
553	2	553	res/Yt.xml	calendar,email
553	2	553	res/fR.xml	calendar,email
553	2	553	res/i8.xml	music,youpipe
552	2	552	res/04.xml	calendar,email
552	2	552	res/Br.xml	calendar,email
552	2	552	res/RK.xml	calendar,email
552	2	552	res/XY.xml	calendar,email
552	2	552	res/tr.xml	calendar,email
552	2	552	res/wj.xml	calendar,email
552	2	552	com/google/i18n/phonenumbers/data/PhoneNumberMetadataProto_PY	contacts,messages
552	2	552	res/ve.xml	music,youpipe
551	22	11571	res/Eg.xml	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,pdf,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
551	2	551	res/Eg.xml	passwords,photos
549	2	549	res/Fu.xml	calendar,email
549	2	549	res/Jy.xml	calendar,email
549	2	549	res/Fu.xml	findfamily,maps
548	2	548	res/z-.xml	calendar,email
548	3	1096	res/Fu.xml	clock,notes,openassistant
548	9	4384	res/Fu.xml	alchemist,chess,contacts,health,office,pipes,solitaire,unblockjam,wordmaker
548	2	548	res/Fu.xml	music,youpipe
548	2	548	res/nb.xml	music,youpipe
545	2	545	res/P5.xml	music,youpipe
543	2	543	res/gR.xml	calendar,email
543	2	543	res/nl.xml	calendar,email
543	14	7059	res/nl.xml	alchemist,chess,clock,contacts,health,music,notes,office,openassistant,pipes,solitaire,unblockjam,wordmaker,youpipe
543	2	543	com/google/i18n/phonenumbers/data/PhoneNumberMetadataProto_FI	contacts,messages
542	24	12466	kotlin/annotation/annotation.kotlin_builtins	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
542	2	542	res/XU.xml	openassistant,photos
541	24	12443	res/33.9.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
540	2	540	res/eG.xml	camera,openassistant
538	2	538	res/nl.xml	findfamily,maps
538	2	538	res/q2.xml	music,youpipe
537	2	537	res/vq.xml	calendar,email
537	3	1074	res/vq.xml	clock,notes,openassistant
537	2	537	com/google/i18n/phonenumbers/data/PhoneNumberMetadataProto_IL	contacts,messages
537	8	3759	res/vq.xml	chess,contacts,health,office,pipes,solitaire,unblockjam,wordmaker
537	2	537	res/vq.xml	music,youpipe
537	3	1074	res/pE.xml	notes,openassistant,photos
536	2	536	res/vl.xml	calendar,email
535	14	6955	res/vl.xml	alchemist,chess,clock,contacts,health,music,notes,office,openassistant,pipes,solitaire,unblockjam,wordmaker,youpipe
535	2	535	res/vq.xml	findfamily,maps
534	2	534	res/pC.xml	music,youpipe
533	7	3198	res/vL1.xml	contacts,messages,notes,office,openassistant,pdf,photos
532	2	532	res/gi.xml	music,youpipe
531	2	531	com/google/i18n/phonenumbers/data/PhoneNumberMetadataProto_BY	contacts,messages
530	3	1060	res/Ck.xml	calendar,email,weather
530	3	1060	res/FF.xml	calendar,email,weather
530	3	1060	res/ah.xml	calendar,email,weather
530	3	1060	res/fk.xml	calendar,email,weather
530	3	1060	res/mG.xml	calendar,email,weather
530	3	1060	res/vL.xml	calendar,email,weather
530	2	530	res/vl.xml	findfamily,maps
529	3	1058	res/4J.xml	calendar,email,weather
529	3	1058	res/yT.xml	calendar,email,weather
529	4	1587	res/ds.xml	findfamily,notes,openassistant,photos
528	3	1056	res/vS.xml	calendar,email,weather
528	2	528	res/ux.xml	openassistant,photos
